Date,consumption,income
Jan-70,0.61227692,0.496540045
Apr-70,0.454929794,1.736459591
Jul-70,0.874673021,1.344880981
Oct-70,-0.272514385,-0.328145953
Jan-71,1.892186993,1.965432327
Apr-71,0.913378185,1.490757133
Jul-71,0.792857898,0.442927733
Oct-71,1.649995662,1.050230993
Jan-72,1.32724825,0.629713564
Apr-72,1.889905062,0.934207242
Jul-72,1.532724163,2.024456496
Oct-72,2.317057775,3.901784825
Jan-73,1.813855694,1.129195652
Apr-73,-0.050557716,0.981487307
Jul-73,0.359667223,0.503626895
Oct-73,-0.293315461,1.211474571
Jan-74,-0.878770942,-1.546943855
Apr-74,0.346720029,-0.860297695
Jul-74,0.411953557,0.310671244
Oct-74,-1.47820468,-0.452458059
Jan-75,0.837359874,-0.393048299
Apr-75,1.653973693,4.564235521
Jul-75,1.414318836,-1.359432036
Oct-75,1.053109931,1.006575406
Jan-76,1.97774749,1.462092078
Apr-76,0.915072184,0.819999864
Jul-76,1.050746068,0.896376224
Oct-76,1.295196193,0.715996597
Jan-77,1.135458885,0.082385052
Apr-77,0.551532397,1.131054305
Jul-77,0.950159598,1.490114704
Oct-77,1.496161496,1.995499552
Jan-78,0.582299782,0.614904129
Apr-78,2.11467168,1.141343133
Jul-78,0.418698865,0.808026906
Oct-78,0.802764302,0.782540078
Jan-79,0.50412878,1.087249832
Apr-79,-0.058551127,-0.700631545
Jul-79,0.977555967,0.568900915
Oct-79,0.26591209,0.797134552
Jan-80,-0.173684254,0.279831351
Apr-80,-2.296562996,-1.409415369
Jul-80,1.066919835,1.02444505
Oct-80,1.32441742,2.043130338
Jan-81,0.54583283,-0.229300048
Apr-81,0,0.01377284
Jul-81,0.404821844,2.193050433
Oct-81,-0.758748833,0.201893379
Jan-82,0.643998142,0.116463988
Apr-82,0.356859498,0.69817265
Jul-82,0.76412375,0.436938581
Oct-82,1.807886611,0.351269015
Jan-83,0.975937338,0.784231599
Apr-83,1.96559809,0.72600744
Jul-83,1.751349705,1.489909944
Oct-83,1.573740048,2.042140999
Jan-84,0.853227275,2.163513516
Apr-84,1.420025736,1.707008683
Jul-84,0.769502001,1.545359737
Oct-84,1.307478026,0.946974902
Jan-85,1.681281553,-0.246259445
Apr-85,0.907910806,1.966841071
Jul-85,1.880850439,-0.620830801
Oct-85,0.219864034,1.030018787
Jan-86,0.831533592,1.18335512
Apr-86,1.059663705,1.128116143
Jul-86,1.732441717,0.523753063
Oct-86,0.600062434,0.059897054
Jan-87,-0.152288,0.611885129
Apr-87,1.329357293,-1.09018891
Jul-87,1.110416851,1.772266694
Oct-87,0.240125469,1.410476141
Jan-88,1.656928516,1.248862406
Apr-88,0.723060308,0.934536046
Jul-88,0.786814118,0.766858588
Oct-88,1.170680141,0.896061766
Jan-89,0.365226244,1.130999186
Apr-89,0.446943251,-0.411533933
Jul-89,1.031342865,0.645197097
Oct-89,0.487945312,0.762948357
Jan-90,0.787867942,0.750360325
Apr-90,0.329588878,0.655150176
Jul-90,0.379094008,0.072718052
Oct-90,-0.782282375,-0.676795704
Jan-91,-0.283580869,0.307585359
Apr-91,0.758193783,0.755588074
Jul-91,0.382567416,0.21195715
Oct-91,-0.044932041,0.649885878
Jan-92,1.70442848,1.497981581
Apr-92,0.591033456,0.763512573
Jul-92,1.099312177,0.506330196
Oct-92,1.212615834,1.412562187
Jan-93,0.405115351,-1.477541558
Apr-93,0.955401523,1.543168336
Jul-93,1.079080891,0.212590891
Oct-93,0.886099341,1.46302707
Jan-94,1.107815847,-0.400479849
Apr-94,0.73801073,1.69184918
Jul-94,0.79832641,0.73204843
Oct-94,0.982355812,1.317421015
Jan-95,0.116703636,0.646210704
Apr-95,0.816439436,0.009071803
Jul-95,0.890123271,0.745603285
Oct-95,0.700256683,0.591013847
Jan-96,0.909995107,1.059530012
Apr-96,1.125174154,1.068869375
Jul-96,0.597491051,0.847813936
Oct-96,0.811049811,0.547321447
Jan-97,1.002314791,0.890373141
Apr-97,0.40370845,0.748012589
Jul-97,1.685618761,1.138248868
Oct-97,1.137796247,1.379965421
Jan-98,0.989350157,2.248544314
Apr-98,1.706687585,1.417721496
Jul-98,1.316901051,1.04531261
Oct-98,1.522383594,0.730112366
Jan-99,0.981498554,0.675449171
Apr-99,1.56147049,0.228461748
Jul-99,1.194790348,0.64491755
Oct-99,1.400264206,1.55565084
Jan-00,1.505040637,2.079917327
Apr-00,0.935882738,1.019653998
Jul-00,0.974321842,1.055609188
Oct-00,0.88064976,0.149548646
Jan-01,0.398685386,0.7480245
Apr-01,0.376512295,-0.274110069
Jul-01,0.439188594,2.514669298
Oct-01,1.553691,-1.173044414
Jan-02,0.343826889,2.659477606
Apr-02,0.506654039,0.549165469
Jul-02,0.675711941,-0.343744371
Oct-02,0.354724654,0.23623426
Jan-03,0.503872727,0.367138124
Apr-03,0.985555729,1.501775306
Jul-03,1.337666705,1.39003078
Oct-03,0.542546733,0.573803177
Jan-04,0.880747948,0.443164179
Apr-04,0.443979489,0.983686803
Jul-04,0.870378697,0.666082163
Oct-04,1.073951523,1.388903698
Jan-05,0.793938878,-1.225522766
Apr-05,0.984778893,0.701673549
Jul-05,0.756278018,0.594778066
Oct-05,0.248197873,0.545328307
Jan-06,1.01902713,1.85567861
Apr-06,0.600482189,0.882341774
Jul-06,0.59799998,0.479144681
Oct-06,0.925841126,1.302357376
Jan-07,0.554241245,0.451389832
Apr-07,0.38257957,0.149334878
Jul-07,0.43929546,0.392083863
Oct-07,0.294658721,0.548559897
Jan-08,-0.252665213,1.430770981
Apr-08,-0.03553182,1.973964634
Jul-08,-0.971774467,-2.308604067
Oct-08,-1.313503998,-0.057706851
Jan-09,-0.387483995,-0.969060881
Apr-09,-0.470083019,0.063290188
Jul-09,0.574000955,-1.392556217
Oct-09,0.109328853,-0.144713401
Jan-10,0.671017951,1.187165135
Apr-10,0.717718191,1.354354721
Jul-10,0.653143257,0.561169813
Oct-10,0.875352148,0.37105794
